,GAP
1126,66.0
1127,66.0
1128,66.0
1129,66.0
1130,66.0
1131,66.0
1132,66.0
1133,66.0
1134,66.0
1135,65.0
1136,65.0
1137,65.0
1138,65.0
1139,65.0
1140,65.0
1141,65.0
1142,65.0
1143,64.0
1144,64.0
1145,64.0
1146,64.0
1147,64.0
1148,64.0
1149,64.0
1150,64.0
1151,63.0
1152,63.0
1153,63.0
1154,63.0
1155,63.0
1156,63.0
1157,63.0
1158,63.0
1159,63.0
1160,63.0
1161,63.0
1162,63.0
1163,62.0
1164,62.0
1165,62.0
1166,62.0
1167,62.0
1168,62.0
1169,62.0
1170,62.0
1171,61.0
1172,61.0
1173,61.0
1174,61.0
1175,61.0
1176,61.0
1177,61.0
1178,60.0
1179,60.0
1180,60.0
1181,60.0
1182,60.0
1183,60.0
1184,60.0
1185,60.0
1186,60.0
1187,60.0
1188,60.0
1189,59.0
1190,59.0
1191,59.0
1192,59.0
1193,59.0
1194,59.0
1195,59.0
1196,59.0
1197,59.0
1198,59.0
1199,58.0
1200,58.0
1201,58.0
1202,58.0
1203,58.0
1204,58.0
1205,58.0
1206,58.0
1207,58.0
1208,58.0
1209,57.0
1210,57.0
1211,57.0
1212,57.0
1213,57.0
1214,57.0
1215,57.0
1216,57.0
1217,57.0
1218,57.0
1219,56.0
1220,56.0
1221,56.0
1222,56.0
1223,56.0
1224,56.0
1225,55.0
1226,55.0
1227,55.0
1228,55.0
1229,55.0
1230,55.0
1231,55.0
1232,55.0
1233,55.0
1234,54.0
1235,54.0
1236,54.0
1237,54.0
1238,54.0
1239,54.0
1240,54.0
1241,54.0
1242,53.0
1243,53.0
1244,53.0
1245,53.0
1246,53.0
1247,53.0
1248,53.0
1249,53.0
1250,53.0
1251,52.0
1252,52.0
1253,52.0
1254,52.0
1255,52.0
1256,51.0
1257,51.0
1258,51.0
1259,51.0
1260,51.0
1261,51.0
1262,51.0
1263,51.0
1264,51.0
1265,51.0
1266,50.0
1267,50.0
1268,50.0
1269,50.0
1270,50.0
1271,50.0
1272,50.0
1273,50.0
1274,49.0
1275,49.0
1276,49.0
1277,49.0
1278,49.0
1279,49.0
1280,49.0
1281,49.0
1282,49.0
1283,48.0
1284,48.0
1285,48.0
1286,48.0
1287,48.0
1288,48.0
1289,48.0
1290,48.0
1291,48.0
1292,47.0
1293,47.0
1294,47.0
1295,47.0
1296,47.0
1297,47.0
1298,47.0
1299,47.0
1300,47.0
1301,47.0
1302,47.0
1303,46.0
1304,46.0
1305,46.0
1306,46.0
1307,46.0
1308,46.0
1309,46.0
1310,46.0
1311,46.0
1312,46.0
1313,46.0
1314,46.0
1315,46.0
1316,46.0
1317,45.0
1318,45.0
1319,45.0
1320,45.0
1321,45.0
1322,45.0
1323,45.0
1324,44.0
1325,44.0
1326,44.0
1327,44.0
1328,44.0
1329,44.0
1330,44.0
1331,44.0
1332,44.0
1333,44.0
1334,44.0
1335,44.0
1336,44.0
1337,44.0
1338,43.0
1339,43.0
1340,43.0
1341,43.0
1342,43.0
1343,43.0
1344,43.0
1345,43.0
1346,43.0
1347,42.0
1348,42.0
1349,42.0
1350,42.0
1351,42.0
1352,42.0
1353,42.0
1354,42.0
1355,42.0
1356,42.0
1357,41.0
1358,41.0
1359,41.0
1360,41.0
1361,41.0
1362,41.0
1363,41.0
1364,41.0
1365,41.0
1366,41.0
1367,40.0
1368,40.0
1369,40.0
1370,40.0
1371,40.0
1372,40.0
1373,40.0
1374,40.0
1375,40.0
1376,40.0
1377,40.0
1378,40.0
1379,40.0
1380,40.0
1381,40.0
1382,40.0
1383,40.0
1384,40.0
1385,40.0
1386,40.0
1387,39.0
1388,39.0
1389,39.0
1390,39.0
1391,39.0
1392,39.0
1393,39.0
1394,39.0
1395,39.0
1396,39.0
1397,39.0
1398,39.0
1399,39.0
1400,39.0
1401,39.0
1402,39.0
1403,39.0
1404,39.0
1405,38.0
1406,38.0
1407,38.0
1408,38.0
1409,38.0
1410,38.0
1411,38.0
1412,38.0
1413,38.0
1414,38.0
1415,38.0
1416,38.0
1417,38.0
1418,38.0
1419,37.0
1420,37.0
1421,37.0
1422,37.0
1423,37.0
1424,37.0
1425,37.0
1426,37.0
1427,36.0
1428,36.0
1429,36.0
1430,36.0
1431,36.0
1432,36.0
1433,36.0
1434,36.0
1435,35.0
1436,35.0
1437,35.0
1438,35.0
1439,35.0
1440,35.0
1441,35.0
1442,35.0
1443,35.0
1444,35.0
1445,35.0
1446,35.0
1447,35.0
1448,35.0
1449,35.0
1450,34.0
1451,34.0
1452,34.0
1453,34.0
1454,34.0
1455,34.0
1456,34.0
1457,33.0
1458,33.0
1459,33.0
1460,33.0
1461,33.0
1462,33.0
1463,33.0
1464,33.0
1465,32.0
1466,32.0
1467,32.0
1468,32.0
1469,32.0
1470,31.0
1471,31.0
1472,31.0
1473,31.0
1474,31.0
1475,31.0
1476,31.0
1477,31.0
1478,31.0
1479,31.0
1480,31.0
1481,30.0
1482,30.0
1483,30.0
1484,30.0
1485,30.0
1486,30.0
1487,30.0
1488,30.0
1489,30.0
1490,30.0
1491,30.0
1492,30.0
1493,29.0
1494,29.0
1495,29.0
1496,29.0
1497,29.0
1498,29.0
1499,29.0
1500,29.0
1501,29.0
1502,29.0
1503,28.0
1504,28.0
1505,28.0
1506,28.0
1507,28.0
1508,28.0
1509,28.0
1510,28.0
1511,28.0
1512,28.0
1513,28.0
1514,28.0
1515,28.0
1516,27.0
1517,27.0
1518,27.0
1519,27.0
1520,27.0
1521,27.0
1522,27.0
1523,27.0
1524,27.0
1525,27.0
1526,27.0
1527,27.0
1528,26.0
1529,26.0
1530,26.0
1531,26.0
1532,25.0
1533,25.0
1534,25.0
1535,25.0
1536,25.0
1537,25.0
1538,25.0
